repo,language,title,url,comments,labels,created_at,updated_at
mattermost/mattermost-plugin-mscalendar,Go,Any user-facing error messages should be user-friendly,https://github.com/mattermost/mattermost-plugin-mscalendar/issues/189,0,"['Difficulty/2:Medium', 'Good First Issue', 'Hacktoberfest', 'Help Wanted', 'Tech/Go', 'Up For Grabs', 'Type/Enhancement']",2020-09-07,2021-10-02
mattermost/mattermost-plugin-github,Go,Investigate proper parsing of API errors on webapp side,https://github.com/mattermost/mattermost-plugin-github/issues/337,0,"['Help Wanted', 'Up For Grabs', 'Hacktoberfest', 'Tech/Go', 'Good First Issue', 'Tech/ReactJS', 'Difficulty/1:Easy', 'Type/Task']",2020-07-28,2021-10-02
mattermost/mattermost-plugin-github,Go,"Render markdown in tooltip with post-utils, instead of ReactMarkdown",https://github.com/mattermost/mattermost-plugin-github/issues/327,0,"['Help Wanted', 'Up For Grabs', 'Hacktoberfest', 'Tech/Go', 'Good First Issue', 'Tech/ReactJS', 'Difficulty/1:Easy', 'Type/Enhancement']",2020-07-12,2021-10-02
mattermost/mattermost-plugin-community,Go,Add slash command autocomplete functionality,https://github.com/mattermost/mattermost-plugin-community/issues/16,0,"['Help Wanted', 'Difficulty/1:Easy', 'Good First Issue', 'Hacktoberfest', 'Tech/Go', 'Up For Grabs']",2020-06-10,2021-10-02
mattermost/mattermost-plugin-confluence,Go,"Support notifications to users ""watching"" in Confluence",https://github.com/mattermost/mattermost-plugin-confluence/issues/50,0,"['Type/Enhancement', 'Good First Issue', 'Help Wanted', 'Difficulty/1:Easy', 'Hacktoberfest', 'Tech/Go', 'Up For Grabs']",2020-05-05,2025-03-26
mattermost/mattermost-plugin-confluence,Go,Add per user Authentication for Confluence,https://github.com/mattermost/mattermost-plugin-confluence/issues/49,0,"['Type/Enhancement', 'Good First Issue', 'Help Wanted', 'Difficulty/1:Easy', 'Hacktoberfest', 'Tech/Go', 'Up For Grabs']",2020-05-04,2025-03-26
mattermost/mattermost-plugin-mscalendar,Go,"Allow ""create event"" command to accept spaces in values",https://github.com/mattermost/mattermost-plugin-mscalendar/issues/97,0,"['Difficulty/1:Easy', 'Good First Issue', 'Hacktoberfest', 'Help Wanted', 'Tech/Go', 'Up For Grabs', 'Type/Enhancement']",2020-04-26,2021-10-02
mattermost/mattermost-plugin-github,Go,Create tests for `createIssue()` method,https://github.com/mattermost/mattermost-plugin-github/issues/223,0,"['Help Wanted', 'Up For Grabs', 'Hacktoberfest', 'Tech/Go', 'Good First Issue', 'Type/Enhancement']",2020-03-24,2025-01-09
mattermost/mattermost-plugin-mscalendar,Go,Add mapped Mattermost users as attendees in CreateEvent API method,https://github.com/mattermost/mattermost-plugin-mscalendar/issues/28,0,"['Difficulty/1:Easy', 'Good First Issue', 'Hacktoberfest', 'Help Wanted', 'Tech/Go', 'Up For Grabs', 'Type/Enhancement']",2020-01-29,2021-10-02
hashicorp/terraform-provider-aws,Go,aws_bedrockagentcore_harness is missing additionalAttributes in bedrockModelConfig,https://github.com/hashicorp/terraform-provider-aws/issues/48363,1,"['enhancement', 'good first issue', 'service/bedrockagentcore']",2026-06-11,2026-06-12
hashicorp/terraform-provider-aws,Go,[Docs]: Document necessary dependency between aws_eks_access_entry and aws_eks_access_policy_association,https://github.com/hashicorp/terraform-provider-aws/issues/40951,1,"['documentation', 'good first issue', 'service/eks']",2025-01-15,2025-02-05
hashicorp/packer-plugin-googlecompute,Go,Add disk_attachment labels,https://github.com/hashicorp/packer-plugin-googlecompute/issues/210,1,"['enhancement', 'good first issue']",2024-02-28,2026-07-26
hashicorp/packer-plugin-azure,Go,"Improve error messaging for ""Managed Images not supporting ARM64 images error""",https://github.com/hashicorp/packer-plugin-azure/issues/367,1,"['good first issue', 'sync to jira', 'builder/arm']",2024-01-25,2024-08-28
hashicorp/waypoint,Go,Show job created time in CLI output,https://github.com/hashicorp/waypoint/issues/4293,1,"['enhancement', 'good first issue', 'core/cli']",2022-12-08,2023-05-24
hashicorp/nomad,Go,docs: correctly detail endpoints that support PUT and POST,https://github.com/hashicorp/nomad/issues/15243,1,"['type/bug', 'theme/docs', 'good first issue', 'stage/accepted']",2022-11-14,2023-01-28
hashicorp/terraform-provider-azurerm,Go,r/data_factory_linked_service_postgresql: export `key_vault_connection_string`,https://github.com/hashicorp/terraform-provider-azurerm/issues/16500,1,"['enhancement', 'good first issue', 'service/data-factory']",2022-04-21,2022-05-23
hashicorp/waypoint,Go,Makefile: Add a make target to generate changelog text files,https://github.com/hashicorp/waypoint/issues/3219,1,"['enhancement', 'good first issue']",2022-04-13,2022-04-21
mattermost/mattermost-plugin-google-calendar,Go,`/gcal viewcal` and daily summary show up declined events,https://github.com/mattermost/mattermost-plugin-google-calendar/issues/53,1,"['Good First Issue', 'Hacktoberfest']",2023-09-06,2023-10-13
mattermost/mattermost-plugin-mscalendar,Go,Add space between time and AM/PM for events,https://github.com/mattermost/mattermost-plugin-mscalendar/issues/318,1,"['Good First Issue', 'Hacktoberfest']",2023-08-31,2023-09-01
mattermost/mattermost-plugin-apps,Go,If the App stops running I see a whole HTML response as the error,https://github.com/mattermost/mattermost-plugin-apps/issues/462,1,"['Good First Issue', 'Help Wanted', 'Type/Enhancement', 'Difficulty/1:Easy', 'Up For Grabs']",2023-03-14,2023-03-21
mattermost/mattermost-plugin-mscalendar,Go,Change Azure URL?,https://github.com/mattermost/mattermost-plugin-mscalendar/issues/240,1,"['Difficulty/1:Easy', 'Good First Issue', 'Hacktoberfest', 'Help Wanted', 'Tech/Go', 'Up For Grabs', 'Type/Enhancement']",2022-09-20,2024-11-01
mattermost/mattermost-plugin-wrangler,Go,Wrangling a post does not bring followers over to the new thread,https://github.com/mattermost/mattermost-plugin-wrangler/issues/135,1,['good first issue'],2022-07-05,2024-11-22
mattermost/mattermost-plugin-github,Go,Create Issue modal should disable labels etc instead of hiding the elements,https://github.com/mattermost/mattermost-plugin-github/issues/438,1,"['Help Wanted', 'Up For Grabs', 'Hacktoberfest', 'Good First Issue', 'Tech/ReactJS', 'Difficulty/1:Easy', 'Type/Enhancement', 'Tech/TypeScript']",2021-04-17,2023-02-20
mattermost/mattermost-plugin-nps,Go,Use SiteURL for all calls from the webapp,https://github.com/mattermost/mattermost-plugin-nps/issues/70,1,"['Type/Enhancement', 'Difficulty/1:Easy', 'Good First Issue', 'Hacktoberfest', 'Help Wanted', 'Tech/ReactJS', 'Up For Grabs']",2020-07-21,2021-10-02
mattermost/mattermost-plugin-google-calendar,Go,Improve error handling in `completeCalendar` to avoid panic,https://github.com/mattermost/mattermost-plugin-google-calendar/issues/8,1,"['Help Wanted', 'Good First Issue', 'Type/Bug', 'Difficulty/1:Easy', 'Hacktoberfest', 'Tech/Go', 'Up For Grabs']",2020-04-23,2021-10-02
mattermost/mattermost-plugin-github,Go,Use custom post type to display TODO list,https://github.com/mattermost/mattermost-plugin-github/issues/86,1,"['Help Wanted', 'Up For Grabs', 'Hacktoberfest', 'Tech/Go', 'Good First Issue', 'Tech/ReactJS', 'Difficulty/1:Easy', 'Type/Enhancement']",2019-06-04,2021-10-02
hashicorp/terraform-provider-aws,Go,aws_fms_policy resource_tag_logical_operator not correctly displaying diff during a plan,https://github.com/hashicorp/terraform-provider-aws/issues/47771,2,"['bug', 'good first issue', 'service/fms']",2026-05-05,2026-05-06
hashicorp/terraform-provider-aws,Go,Add private DNS endpoint attribute to `aws_dsql_cluster` resource,https://github.com/hashicorp/terraform-provider-aws/issues/47596,2,"['enhancement', 'good first issue', 'service/dsql']",2026-04-23,2026-04-28
hashicorp/terraform-provider-aws,Go,aws_quicksight_dashboard / aws_quicksight_analysis: scatter_plot_categorically_aggregated_field_wells missing label block,https://github.com/hashicorp/terraform-provider-aws/issues/46529,2,"['enhancement', 'good first issue', 'service/quicksight']",2026-02-17,2026-03-12
hashicorp/terraform-provider-aws,Go,Can't update aws_controltower_baseline resource version,https://github.com/hashicorp/terraform-provider-aws/issues/45871,2,"['bug', 'good first issue', 'service/controltower']",2026-01-08,2026-03-08
hashicorp/terraform-provider-aws,Go,iot_topic_rule CloudWatch metric timestamp Wrong validator,https://github.com/hashicorp/terraform-provider-aws/issues/45375,2,"['bug', 'good first issue', 'service/iot']",2025-12-03,2026-03-11
hashicorp/packer-plugin-azure,Go,Create a technical document giving detailed steps on how to configure Packer to use private Azure vNet with public IP,https://github.com/hashicorp/packer-plugin-azure/issues/503,2,"['enhancement', 'good first issue']",2025-06-24,2025-06-27
hashicorp/terraform-provider-aws,Go,QuickSight reguires Admin or Admin Pro group,https://github.com/hashicorp/terraform-provider-aws/issues/42457,2,"['documentation', 'good first issue', 'service/quicksight']",2025-05-02,2025-05-25
hashicorp/terraform-provider-aws,Go,aws_pipes_pipe resource does not support target Timestream for Live Analytics,https://github.com/hashicorp/terraform-provider-aws/issues/42400,2,"['enhancement', 'good first issue', 'service/pipes']",2025-04-28,2026-03-12
hashicorp/terraform-provider-kubernetes,Go,Add CSI Driver fsGroup Support,https://github.com/hashicorp/terraform-provider-kubernetes/issues/2702,2,"['enhancement', 'stale', 'good first issue']",2025-03-13,2026-07-02
hashicorp/terraform-provider-aws,Go,[Docs]: A notation may cause confusion in import exmaple,https://github.com/hashicorp/terraform-provider-aws/issues/40935,2,"['documentation', 'good first issue', 'service/elbv2']",2025-01-15,2025-03-25
hashicorp/terraform-provider-aws,Go,[Enhancement]: Request warning for possible OpenSearch blue/green deployments,https://github.com/hashicorp/terraform-provider-aws/issues/40045,2,"['enhancement', 'good first issue', 'service/elasticsearch', 'service/opensearch']",2024-11-07,2024-12-09
hashicorp/terraform-provider-aws,Go,[Enhancement]: aws_redshiftserverless_namespace - manageAdminPassword/redshiftIdcApplicationArn,https://github.com/hashicorp/terraform-provider-aws/issues/35135,2,"['enhancement', 'good first issue', 'service/redshiftserverless']",2024-01-04,2025-06-21
hashicorp/packer-plugin-openstack,Go,Verify checksums of images imported via external_source_image_url,https://github.com/hashicorp/packer-plugin-openstack/issues/116,2,"['enhancement', 'good first issue']",2023-11-23,2023-11-28
hashicorp/copywrite,Go,Support overriding `ensureCorrectName` (e.g. support `LICENSE.md` instead of `LICENSE`),https://github.com/hashicorp/copywrite/issues/101,2,"['enhancement', 'good first issue']",2023-10-27,2023-10-31
hashicorp/packer-plugin-qemu,Go,Support multiple accelerators,https://github.com/hashicorp/packer-plugin-qemu/issues/160,2,"['enhancement', 'good first issue']",2023-10-05,2025-11-08
hashicorp/terraform-provider-azurerm,Go,Support for azurerm_relay_namespace/azurerm_relay_hybrid_connection data sources,https://github.com/hashicorp/terraform-provider-azurerm/issues/21144,2,"['new-data-source', 'good first issue', 'service/relay']",2023-03-27,2026-04-15
hashicorp/waypoint,Go,CLI: DRY up how the CLI shows deployment and release URLs,https://github.com/hashicorp/waypoint/issues/4209,2,"['good first issue', 'core/cli']",2022-11-17,2023-01-13
hashicorp/waypoint,Go,UI: `context-create` component should suggest `-server-tls-skip-verify` flag,https://github.com/hashicorp/waypoint/issues/3110,2,"['good first issue', 'ui']",2022-03-17,2022-07-21
mattermost/mattermost-plugin-github,Go,Explain in docs not to fill out the `Enterprise Base URL` config setting if the GH Enterprise instance is hosted on GitHub's domain,https://github.com/mattermost/mattermost-plugin-github/issues/714,2,"['Help Wanted', 'Hacktoberfest', 'Tech/Go', 'Good First Issue', 'Difficulty/1:Easy', 'Type/Enhancement']",2023-11-27,2024-02-05
mattermost/mattermost-plugin-jira,Go,Add `/jira setup` to slash command autocomplete,https://github.com/mattermost/mattermost-plugin-jira/issues/892,2,"['Help Wanted', 'Good First Issue', 'Hacktoberfest', 'Tech/Go', 'Difficulty/1:Easy', 'Type/Enhancement']",2022-11-21,2024-09-19
mattermost/mattermost-plugin-github,Go,Able to Unsubscribe from Repositories without being Subscribed,https://github.com/mattermost/mattermost-plugin-github/issues/546,2,"['Help Wanted', 'Tech/Go', 'Good First Issue', 'Difficulty/1:Easy']",2022-02-27,2022-02-28
mattermost/mattermost-plugin-github,Go,Show author of PR/issue in link tooltip,https://github.com/mattermost/mattermost-plugin-github/issues/439,2,"['Help Wanted', 'Up For Grabs', 'Hacktoberfest', 'Good First Issue', 'Tech/ReactJS', 'Difficulty/1:Easy', '1: UX Review', 'Type/Enhancement', 'Tech/TypeScript']",2021-04-22,2024-11-26
mattermost/mattermost-plugin-github,Go,Support filtering of repositories in RHS,https://github.com/mattermost/mattermost-plugin-github/issues/265,2,"['Help Wanted', 'Up For Grabs', 'Hacktoberfest', 'Good First Issue', 'Tech/ReactJS', 'Difficulty/1:Easy', 'Type/Enhancement']",2020-05-13,2026-02-17
mattermost/mattermost-plugin-mscalendar,Go,Improve Daily Summary weekday setup,https://github.com/mattermost/mattermost-plugin-mscalendar/issues/56,2,"['Difficulty/1:Easy', 'Good First Issue', 'Hacktoberfest', 'Help Wanted', 'Tech/Go', 'Up For Grabs', 'Type/Enhancement']",2020-03-16,2021-10-02
kubernetes/cloud-provider-openstack,Go,[all]: openstack API debugger shows `client.go:128` for all calls,https://github.com/kubernetes/cloud-provider-openstack/issues/2300,3,"['good first issue', 'kind/bug']",2023-07-14,2023-10-19
microsoft/retina,Go,Update documentation with Hubble CLI and Hubble UI deployment instructions on Retina.,https://github.com/microsoft/retina/issues/1387,3,"['area/documentation', 'type/enhancement', 'good first issue', 'scope/S', 'control-plane/hubble']",2025-02-26,2025-05-13
hashicorp/terraform-provider-aws,Go,data/aws_bedrock_foundation_model: modelLifecycle attribute not exposed,https://github.com/hashicorp/terraform-provider-aws/issues/47779,3,"['enhancement', 'good first issue', 'service/bedrock']",2026-05-06,2026-05-31
hashicorp/terraform-provider-aws,Go,"aws_s3tables_table_replication: Create fails with ""A version token is not specified""",https://github.com/hashicorp/terraform-provider-aws/issues/46675,3,"['bug', 'good first issue', 'service/s3tables']",2026-02-26,2026-03-02
hashicorp/terraform-provider-aws,Go,[EMR on EKS] aws_emrcontainers_job_template: add support for job_template_data.parameter_configuration,https://github.com/hashicorp/terraform-provider-aws/issues/46502,3,"['enhancement', 'good first issue', 'service/emrcontainers']",2026-02-16,2026-04-28
hashicorp/terraform-provider-aws,Go,aws_transfer_server::identity_provider_type causes replacement,https://github.com/hashicorp/terraform-provider-aws/issues/46229,3,"['enhancement', 'good first issue', 'service/transfer']",2026-01-30,2026-02-27
hashicorp/terraform-provider-aws,Go,Unable to update a RAM share to use the latest version of a custom permission,https://github.com/hashicorp/terraform-provider-aws/issues/46219,3,"['new-resource', 'good first issue', 'service/ram']",2026-01-29,2026-03-23
hashicorp/terraform-provider-kubernetes,Go,Helper function for creating `env` name/value pair list from a map.,https://github.com/hashicorp/terraform-provider-kubernetes/issues/2767,3,"['enhancement', 'good first issue']",2025-08-15,2026-06-11
hashicorp/terraform-provider-aws,Go,aws_efs_replication_configuration is missing role-arn for cross-account-replication,https://github.com/hashicorp/terraform-provider-aws/issues/42814,3,"['enhancement', 'good first issue', 'service/efs']",2025-05-30,2025-12-09
hashicorp/terraform-provider-aws,Go,[Bug]: SageMaker App Image Config: API rejects valid UID/GID pairs defined in provider schema,https://github.com/hashicorp/terraform-provider-aws/issues/40976,3,"['bug', 'good first issue', 'service/sagemaker']",2025-01-17,2025-03-19
hashicorp/terraform-provider-aws,Go,"[Bug]: aws_emr_cluster Inappropriate value for attribute ""configurations"": string required.",https://github.com/hashicorp/terraform-provider-aws/issues/39959,3,"['documentation', 'good first issue', 'service/emr']",2024-10-31,2024-11-01
hashicorp/terraform-provider-aws,Go,[Enhancement]: aws_sagemaker_domain add Hidden Image Versions options to the studio_web_portal_settings,https://github.com/hashicorp/terraform-provider-aws/issues/39876,3,"['enhancement', 'good first issue', 'service/sagemaker']",2024-10-24,2025-02-27
hashicorp/nomad,Go,Show last job status in UI in jobs list,https://github.com/hashicorp/nomad/issues/23893,3,"['type/enhancement', 'theme/ui', 'good first issue']",2024-08-29,2024-08-30
hashicorp/terraform-provider-vault,Go,Update vault_kubernetes_auth_backend_role Resource to support allowed_kubernetes_namespace_selector Field,https://github.com/hashicorp/terraform-provider-vault/issues/1882,3,"['good first issue', 'feature-parity']",2023-06-02,2024-10-29
